Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
0.0,14.53611,,,
0.08333,12.54167,,,
0.16667,10.73056,,,
0.25,10.04167,,,
0.33333,9.51944,,,
0.41667,8.74444,,,
0.5,9.29444,,,
0.58333,8.94167,,,
0.66667,8.75278,,,
0.75,9.24167,,,
0.83333,8.63333,,,
0.91667,9.25278,,,
1.0,9.14444,,,
1.08333,8.88056,,,
1.16667,9.68889,,,
1.25,9.56944,,,
1.33333,9.56389,,,
1.41667,9.56944,,,
1.5,9.47222,,,
1.58333,9.18333,,,
1.66667,9.28611,,,
1.75,9.43611,,,
1.83333,9.48611,,,
1.91667,9.44444,,,
2.0,9.82778,,,
2.08333,9.39167,,,
2.16667,9.79167,,,
2.25,9.98889,,,
2.33333,9.59167,,,
2.41667,9.80278,,,
2.5,10.06667,,,
2.58333,9.88889,,,
2.66667,9.55,,,
2.75,9.78333,,,
2.83333,10.03056,,,
2.91667,10.03056,,,
3.0,9.71667,,,
3.08333,10.27778,,,
3.16667,10.10556,,,
3.25,9.75556,,,
3.33333,10.475,,,
3.41667,10.23333,,,
3.5,10.03889,,,
3.58333,10.23889,,,
3.66667,10.48333,,,
3.75,10.30556,,,
3.83333,10.52778,,,
3.91667,10.40833,,,
4.0,9.9,,,
4.08333,10.44167,,,
4.16667,10.53333,,,
4.25,10.75,,,
4.33333,10.66667,,,
4.41667,10.825,,,
4.5,10.70278,,,
4.58333,10.65833,,,
4.66667,10.30278,,,
4.75,10.31111,,,
4.83333,10.44722,,,
4.91667,10.56111,,,
5.0,10.65833,,,
5.08333,10.025,,,
5.16667,10.50833,,,
5.25,10.8,,,
5.33333,10.875,,,
5.41667,10.65833,,,
5.5,11.26944,,,
5.58333,11.31944,,,
5.66667,10.93611,,,
5.75,10.85,,,
5.83333,10.60278,,,
5.91667,10.87222,,,
6.0,10.66667,,,
6.08333,10.74722,,,
6.16667,11.40278,,,
6.25,11.18611,,,
6.33333,11.07222,,,
6.41667,11.36389,,,
6.5,11.30278,,,
6.58333,11.35278,,,
6.66667,10.95278,,,
6.75,11.325,,,
6.83333,10.83889,,,
6.91667,11.31667,,,
7.0,10.92222,,,
7.08333,11.34722,,,
