Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
0.0,13.91944,,,
0.08333,12.70278,,,
0.16667,11.83611,,,
0.25,11.00556,,,
0.33333,10.60278,,,
0.41667,9.81667,,,
0.5,10.84444,,,
0.58333,10.11111,,,
0.66667,9.95556,,,
0.75,10.21111,,,
0.83333,10.30833,,,
0.91667,10.01944,,,
1.0,10.15556,,,
1.08333,9.89722,,,
1.16667,9.97222,,,
1.25,10.75,,,
1.33333,10.34167,,,
1.41667,10.0,,,
1.5,10.21667,,,
1.58333,10.28611,,,
1.66667,10.25556,,,
1.75,10.07222,,,
1.83333,10.20278,,,
1.91667,9.96944,,,
2.0,10.12222,,,
2.08333,10.51111,,,
2.16667,10.44444,,,
2.25,10.41667,,,
2.33333,10.07778,,,
2.41667,10.44444,,,
2.5,10.53056,,,
2.58333,10.56667,,,
2.66667,10.23056,,,
2.75,10.29722,,,
2.83333,10.7,,,
2.91667,10.64167,,,
3.0,10.59167,,,
3.08333,10.82778,,,
3.16667,10.71667,,,
3.25,10.64722,,,
3.33333,11.02778,,,
3.41667,10.69167,,,
3.5,10.51944,,,
3.58333,10.60556,,,
3.66667,10.69722,,,
3.75,10.86944,,,
3.83333,10.70556,,,
3.91667,10.77222,,,
4.0,10.78056,,,
4.08333,10.52778,,,
4.16667,11.28056,,,
4.25,10.76111,,,
4.33333,10.94444,,,
4.41667,11.09167,,,
4.5,11.28333,,,
4.58333,10.99167,,,
4.66667,11.01944,,,
4.75,10.83056,,,
4.83333,11.31667,,,
4.91667,10.95833,,,
5.0,10.83333,,,
5.08333,10.98333,,,
5.16667,11.13611,,,
5.25,11.21111,,,
5.33333,11.16389,,,
5.41667,10.91111,,,
5.5,11.14167,,,
5.58333,11.63889,,,
5.66667,11.20556,,,
5.75,11.34444,,,
5.83333,11.11111,,,
5.91667,11.22778,,,
6.0,11.01111,,,
6.08333,11.00278,,,
6.16667,11.38889,,,
6.25,11.41111,,,
6.33333,11.35,,,
6.41667,11.27778,,,
6.5,11.36389,,,
6.58333,11.49444,,,
6.66667,10.81389,,,
6.75,10.54722,,,
6.83333,11.25278,,,
6.91667,11.15278,,,
7.0,10.96667,,,
7.08333,11.64722,,,
7.16667,11.51389,,,
7.25,11.58889,,,
7.33333,11.32778,,,
7.41667,11.06389,,,
7.5,11.59167,,,
7.58333,11.51111,,,
7.66667,11.73333,,,
7.75,10.76389,,,
7.83333,11.325,,,
7.91667,10.82778,,,
8.0,11.05556,,,
8.08333,11.51389,,,
8.16667,11.04167,,,
8.25,11.73889,,,
8.33333,11.33056,,,
8.41667,11.76111,,,
8.5,11.3,,,
8.58333,11.50556,,,
8.66667,11.20833,,,
8.75,11.18889,,,
8.83333,11.2,,,
8.91667,11.75278,,,
9.0,11.33056,,,
9.08333,11.35556,,,
9.16667,11.05278,,,
9.25,11.33056,,,
9.33333,11.13333,,,
9.41667,12.09722,,,
9.5,11.95278,,,
9.58333,11.75,,,
9.66667,11.73333,,,
9.75,11.06667,,,
9.83333,11.64167,,,
9.91667,11.65833,,,
10.0,11.66389,,,
10.08333,11.27778,,,
10.16667,11.775,,,
10.25,11.21667,,,
10.33333,11.56111,,,
10.41667,11.61389,,,
10.5,11.375,,,
10.58333,11.075,,,
10.66667,11.975,,,
10.75,11.64167,,,
10.83333,11.53056,,,
10.91667,11.73889,,,
11.0,11.20278,,,
11.08333,11.36944,,,
11.16667,11.50278,,,
11.25,11.75278,,,
11.33333,11.97222,,,
11.41667,11.575,,,
11.5,11.58611,,,
11.58333,11.875,,,
11.66667,11.64722,,,
11.75,11.88611,,,
11.83333,11.75833,,,
11.91667,11.77778,,,
12.0,11.70556,,,
12.08333,11.68889,,,
12.16667,11.28889,,,
12.25,12.06667,,,
12.33333,11.61389,,,
12.41667,11.66667,,,
12.5,11.46667,,,
12.58333,11.94722,,,
12.66667,11.74167,,,
12.75,11.75278,,,
12.83333,11.79167,,,
12.91667,11.98056,,,
13.0,11.13056,,,
13.08333,12.09444,,,
13.16667,11.48889,,,
13.25,11.83611,,,
13.33333,11.77778,,,
13.41667,11.84167,,,
13.5,11.51111,,,
13.58333,12.34722,,,
13.66667,11.54167,,,
13.75,11.96389,,,
13.83333,11.81389,,,
13.91667,11.8,,,
14.0,11.8,,,
14.08333,11.66944,,,
14.16667,11.56944,,,
14.25,11.46667,,,
14.33333,11.71667,,,
14.41667,11.65278,,,
14.5,11.81944,,,
14.58333,12.18333,,,
14.66667,11.70833,,,
14.75,11.93056,,,
14.83333,11.38889,,,
14.91667,11.91111,,,
15.0,11.75833,,,
15.08333,11.975,,,
15.16667,11.84167,,,
15.25,11.95556,,,
15.33333,12.31944,,,
15.41667,12.28333,,,
15.5,11.83333,,,
15.58333,11.91944,,,
15.66667,11.48056,,,
15.75,11.33611,,,
15.83333,11.92778,,,
15.91667,12.15278,,,
16.0,12.15,,,
16.08333,11.51667,,,
16.16667,11.47778,,,
16.25,11.93056,,,
16.33333,11.75278,,,
16.41667,12.025,,,
16.5,11.24167,,,
16.58333,11.59722,,,
16.66667,11.88333,,,
16.75,12.33611,,,
16.83333,11.10278,,,
16.91667,12.0,,,
17.0,11.79167,,,
17.08333,12.10833,,,
17.16667,11.91667,,,
17.25,12.01389,,,
17.33333,11.46389,,,
17.41667,11.81111,,,
17.5,11.44444,,,
17.58333,11.93889,,,
17.66667,11.38333,,,
17.75,11.85278,,,
17.83333,11.78333,,,
17.91667,12.09722,,,
18.0,11.96389,,,
18.08333,12.34167,,,
18.16667,11.96944,,,
18.25,11.98611,,,
18.33333,12.175,,,
18.41667,11.75556,,,
18.5,11.76389,,,
