	time	irradiance	rh	outdoor_temperature
0	0.05808	51.26533	56.629	18.8651
1	0.31655	7.11508	56.1778	18.5037
2	0.57499	6.4733	52.4212	18.4453
3	0.8334	3.52957	46.6097	18.1697
4	1.09185	1.19538	48.3301	17.744
5	1.35033	0.45443	50.0917	17.3854
6	1.60882	0.01738	51.9075	17.0293
7	1.86722	-0.20515	54.1286	16.6745
8	2.12564	-0.19155	56.72399999999999	16.4339
9	2.3841	-0.18942	60.0805	16.2174
10	2.6425	-0.19493	62.58279999999999	16.0408
11	2.90092	-0.19198	64.3391	15.8311
12	3.15938	-0.17428	65.1011	15.6799
13	3.4178	-0.15977	65.8296	15.5148
14	3.67621	-0.11513	66.6497	15.2512
15	3.93461	-0.13986	66.1702	15.2526
16	4.19303	-0.03952	66.6635	15.1628
17	4.45142	-0.022	66.181	15.2705
18	4.70982	-0.01447	65.1385	15.482700000000001
19	4.96824	-0.06538	67.5468	14.9979
20	5.22664	-0.05621	68.0421	14.8598
21	5.48505	-0.11094	67.8266	14.8025
22	5.74346	-0.19071	68.15	14.653700000000002
23	6.00186	-0.07281	69.6966	14.5069
24	6.26027	-0.00738	69.6489	14.5443
25	6.51868	-0.00614	66.9159	14.764
26	6.77709	-0.06472	69.29110000000001	14.534400000000002
27	7.03549	-0.06802	69.3463	14.473400000000002
28	7.29389	-0.05896	70.02870000000001	14.3779
29	7.55231	-0.02641	69.1072	14.4545
30	7.81072	-0.02789	68.7129	14.5249
31	8.06912	-0.03358	69.0541	14.4676
32	8.32754	-0.03121	68.53080000000001	14.5962
33	8.58594	-0.05235	69.0065	14.4543
34	8.84436	-0.04884	69.6493	14.3665
35	9.10275	-0.04898	68.7224	14.4195
36	9.36116	-0.09838	67.6854	14.5443
37	9.61957	-0.12467	71.6999	14.0833
38	9.87798	-0.12303	71.5034	13.9286
39	10.13639	-0.11209	72.2125	13.8353
40	10.39481	-0.15868	72.4761	13.7649
41	10.6532	-0.149	73.2593	13.534
42	10.9116	-0.10596	73.8411	13.3881
43	11.17003	-0.08493	74.1751	13.372199999999998
44	11.42842	-0.07086	74.8262	13.2254
45	11.68683	-0.05675	75.457	13.1911
46	11.94522	-0.04684	75.0823	13.3578
47	12.20364	-0.03326	73.1798	13.5342
48	12.46204	-0.06729	73.7668	13.5536
49	12.72045	-0.13342	73.274	13.6859
50	12.97886	-0.07522	73.8744	13.591
51	13.23727	0.01314	71.8621	14.082
52	13.49568	-0.08818	72.3874	13.8617
53	13.75409	-0.10859	75.5843	13.4619
54	14.01249	-0.08943	75.7773	13.3945
55	14.2709	-0.09769	76.195	13.2313
56	14.52931	-0.07174	76.4377	13.2137
57	14.78771	-0.06047	75.9613	13.2626
58	15.04612	-0.07544	75.7779	13.255800000000002
59	15.30452	-0.13383	76.1765	13.114199999999999
60	15.56294	-0.09933	77.4078	12.9337
61	15.82135	0.00114	77.4922	12.8493
62	16.07975	0.55959	77.2661	12.8303
63	16.33816	3.26682	77.1791	12.8484
64	16.59657	15.28029	76.0361	13.0244
65	16.85498	33.72773	73.9938	13.339500000000001
66	17.11339	22.12855	72.0754	14.080100000000002
67	17.37179	20.82467	71.6125	14.1496
68	17.63023	46.42633	71.265	14.2865
69	17.88869	72.4055	65.8318	15.6488
70	18.14707	28.78125	62.2859	16.0991
71	18.4055	84.98229	60.028999999999996	16.8054
72	18.66395	88.98342	57.3361	17.2729
73	18.92238	90.66094	55.4247	17.68
